,Date,psed1,psed2,psed3
0,20191122,1.0,0.0,0.0
1,20191125,1.0,0.0,0.0
2,20191126,1.0,0.0,0.0
3,20191127,1.0,0.0,0.0
4,20191128,1.0,0.0,0.0
5,20191129,1.0,0.0,0.0
6,20191202,1.0,0.0,0.0
7,20191204,1.0,0.0,0.0
8,20191205,1.0,0.0,0.0
9,20191218,0.5824369376971066,0.4175630623028934,0.0
10,20191219,0.6645592568918723,0.3354407431081277,-5.551115123125783e-17
11,20191220,0.6618339438365313,0.33816605616346873,0.0
12,20191226,0.6598648573181645,0.3401351426818355,5.551115123125783e-17
13,20191227,0.6457153109894892,0.35428468901051074,5.551115123125783e-17
14,20191231,0.6553362281169226,0.3446637718830774,0.0
16,20200131,0.569974031593155,0.4300259684068451,-5.551115123125783e-17
15,20200218,0.44559040271429423,0.5544095972857058,-1.1102230246251563e-16
