Date,PL,Yield_Medio,Prazo_Medio,Ticket_Medio,Ticket Maximo,Maior_exposicao_cedente,Maior_exposicao_sacado,Operacoes 30 Dias,Cedentes Ativos,Sacados Ativos,PDD 30 Dias,Faturamento 30 Dias,PDD/Faturamento 30,psac1,psac2,psac3,psac4,psed1,psed2,psed3,Trades,Yield_PDD,Yield_PDD_T,Atraso,Atraso_PDD,Dias_Atraso,ced_sac
20191122,363035.21,0.7487944871597307,32.447508135643375,19107.116315789473,27200.0,363035.2100000001,87231.07999999999,9.0,1.0,8.0,0.0,1.0,1.0,0.2402826987497989,0.0,0.4107699636076623,0.3489473376425389,1.0,0.0,0.0,0.0,0.7487944871597307,0.7487944871597307,0.0,0.0,0.0,0.0
20191125,363751.27,0.6447939790429551,35.447507908357274,19144.80368421053,27200.0,363751.27,87403.14,9.0,1.0,8.0,0.0,1.0,1.0,0.2402827074665609,0.0,0.4107699472774349,0.3489473452560042,1.0,0.0,0.0,0.0,0.6447939790429551,0.6447939790429551,0.0,0.0,0.0,0.0
20191126,409549.29,0.6431245749163543,32.74714569765217,18615.87681818182,27200.0,409549.29,87575.54,12.0,1.0,9.0,0.0,1.0,1.0,0.2138339441389338,0.0,0.39700459497805496,0.3891614608830112,1.0,0.0,0.0,0.0,0.6431245749163543,0.6431245749163543,0.0,0.0,0.0,0.0
20191127,410353.2300000001,0.6432461222204102,31.74727339175568,18652.41954545455,27200.0,410353.2300000001,87748.26000000001,12.0,1.0,9.0,0.0,1.0,1.0,0.21383591887408807,0.0,0.39700564803644905,0.3891584330894629,1.0,0.0,0.0,0.0,0.6432461222204102,0.6432461222204102,0.0,0.0,0.0,0.0
20191128,1473211.54,0.4921167357279561,15.830593697358628,46037.860625,182039.62,1021521.55,1021521.55,20.0,2.0,11.0,0.0,1.0,1.0,0.693397738385894,0.0,0.17048069688620546,0.13612156472790052,1.0,0.0,0.0,0.0,0.4921167357279561,0.4921167357279561,0.0,0.0,0.0,1021521.55
20191129,1488122.27,0.5425210834330783,13.87738564654368,45094.614242424235,182039.62,1022616.72,1022616.72,21.0,2.0,11.0,0.0,1.0,1.0,0.6871859528048054,0.0,0.16910465293957336,0.14370939425562118,1.0,0.0,0.0,0.0,0.5425210834330783,0.5425210834330783,0.0,0.0,0.0,1022616.72
20191202,1636780.72,0.5211655990516462,14.40174189612888,43073.17684210526,182039.62,1023713.05,1023713.05,2.0,2.0,15.0,0.0,1.0,1.0,0.6254430037519014,0.05392811567330777,0.1460525268161762,0.1745763537586146,1.0,0.0,0.0,2.0,0.5211655990516462,0.5213507732751363,40925.0,0.0,0.0,1023713.05
20191204,1641480.89,0.5351820200547976,12.407806033002313,43196.865526315785,182039.62,1025909.23,1025909.23,2.0,2.0,15.0,204.62,1.0,1.0,0.6249900539506128,0.05398603208837844,0.14620267677925886,0.1748212371817499,1.0,0.0,0.0,0.0,0.5351820200547976,0.5419230469962724,40925.0,204.62,-2.0,1025909.23
20191205,1585626.0799999996,0.5438417475471389,11.829745137643044,42854.75891891891,182039.62,1027009.07,1027009.07,2.0,2.0,14.0,204.62,1.0,1.0,0.6476994059028091,0.055997962647032135,0.1039610801557956,0.1923415512943632,1.0,0.0,0.0,0.0,0.5438417475471389,0.5529604056514972,99135.5,204.62,-1.2384564560626616,1027009.07
20191218,3218816.8000000007,0.5347290702675724,20.73942963140989,48769.95151515152,200633.81,1874757.8,1874757.8,39.0,3.0,19.0,0.0,1.0,1.0,0.5824369376971066,0.08022462477516583,0.15821879952906912,0.17911963799865846,0.5824369376971066,0.4175630623028934,0.0,0.0,0.5347290702675724,0.5347290702675724,0.0,0.0,0.0,1874757.8000000003
