Unnamed: 0,Date,psac1,psac2,psac3,psac4
0,20190902,0.4973049469257038,0.373310207757293,0.08854523985008338,0.04083960546691983
1,20190903,0.527957178,0.349392197,0.0838312,0.038819425
2,20190904,0.530870395,0.346013781,0.08452534099999999,0.038590483
3,20190905,0.5376261760000001,0.341158674,0.082931113,0.038284037
4,20190906,0.539527714,0.339053644,0.083145632,0.03827301
5,20190909,0.554996467,0.32281427,0.083284045,0.038905219
6,20190910,0.567424833,0.310650982,0.083065449,0.038858735
7,20190911,0.5869521839999999,0.29805953,0.07749262,0.037495666
8,20190912,0.564935625,0.323336097,0.075079619,0.036648658
9,20190913,0.5758110479999999,0.307011496,0.078233661,0.038943795
10,20190916,0.553829027,0.333644653,0.074859837,0.037666483
11,20190917,0.559143511,0.329942424,0.07341225700000001,0.037501809
12,20190918,0.563179177,0.325362067,0.073043838,0.038414917
13,20190919,0.567721178,0.320565975,0.07421667400000001,0.037496173
14,20190920,0.575352214,0.318113841,0.069934855,0.03659909
15,20190923,0.577566702,0.320876103,0.066359255,0.035197939
16,20190924,0.5633402670000001,0.32415758,0.07640342,0.036098733
17,20190925,0.53566151,0.34191782600000004,0.08288823299999999,0.039532431
18,20190926,0.533948187,0.34596868299999994,0.080916502,0.039166628
19,20190927,0.558916581,0.312056812,0.08688606800000001,0.04214054
20,20190930,0.5617804430667296,0.3252339515703653,0.07459037264377942,0.038395232719125566
21,20191001,0.5688070960856234,0.3164142622126599,0.07579913220372254,0.038979509497994135
22,20191002,0.5675637827272286,0.31632179933495325,0.07738688263965847,0.038727535298159615
23,20191003,0.591490317,0.29842577600000003,0.072498514,0.037585393
24,20191004,0.5861482610000001,0.302971898,0.072244322,0.038635518
25,20191007,0.587883313,0.303766764,0.069870034,0.038479889
26,20191008,0.5600051093697697,0.3236234117427804,0.07449002598748157,0.041881452899968336
27,20191231,0.5778301826700165,0.3118064226782726,0.07881263514205195,0.031550759509658896
28,20200116,0.6965606840473981,0.20507148140968565,0.0675801729770321,0.030787661565884143
31,20200131,0.6901529944394763,0.2207408310211019,0.06316811266721646,0.02593806187220529
