,Date,psed1,psed2,psed3
0,20190902,0.35284616142516473,0.4688145008324576,0.1783393377423776
1,20190903,0.379977203,0.454242953,0.165779844
2,20190904,0.381292271,0.452788927,0.165918802
3,20190905,0.382681537,0.452507648,0.164810815
4,20190906,0.38218569,0.452124144,0.165690166
5,20190909,0.375066406,0.454570949,0.170362645
6,20190910,0.373084458,0.457808676,0.16910686600000002
7,20190911,0.387663305,0.447847663,0.164489033
8,20190912,0.360110896,0.475448738,0.164440366
9,20190913,0.394192962,0.465413229,0.140393809
10,20190916,0.398991045,0.445743719,0.155265236
11,20190917,0.401112248,0.444139507,0.154748245
12,20190918,0.404495561,0.44517629,0.150328148
13,20190919,0.406394883,0.4375607070000001,0.156044411
14,20190920,0.407932129,0.438732749,0.153335122
15,20190923,0.386808744,0.463737173,0.149454084
16,20190924,0.362504428,0.436873092,0.20062248
17,20190925,0.326211894,0.456417325,0.21737078
18,20190926,0.319315114,0.457532543,0.223152344
19,20190927,0.339063145,0.450764127,0.210172728
20,20190930,0.3559686071417496,0.4287708470028267,0.2152605458554237
21,20191001,0.3477194394127265,0.4364995600459401,0.2157810005413333
22,20191002,0.3480426028742927,0.4372224072840086,0.21473498984169875
23,20191003,0.37468541,0.421101373,0.204213217
24,20191004,0.373160758,0.42274585,0.204093392
25,20191007,0.368413614,0.443253138,0.188333248
26,20191008,0.34137853137450064,0.4551422941671121,0.20347917445838748
27,20191231,0.3718478220509561,0.4653268585332066,0.1628253194158374
28,20200116,0.3691098918279461,0.4720411023904129,0.15884900578164107
29,20200131,0.3690908450905742,0.4772523360306794,0.15365681887874638
30,20200205,0.38497758307832153,0.45481123126003176,0.16021118566164672
